pmid,species_name,species_id,gene_name,gene_id,title,abstract,mesh
39614765,horses,9796,,,Caudal vena cava isolation using ablation index-guided radiofrequency catheter ablation (CARTO™ 3) to treat sustained atrial tachycardia in horses.,"Myocardial sleeves of the caudal vena cava are the predilection site for atrial tachycardia (AT) in horses. Caudal vena cava isolation guided by the ablation index, a lesion quality marker incorporating power, duration and contact force, might improve outcome.","Animals; Horses; Horse Diseases; Catheter Ablation; Female; Male; Vena Cava, Inferior"
39614978,Komagataella phaffii,460519,,,Engineering Komagataella phaffii for ethylene glycol production from xylose.,"Ethylene glycol (EG) is a versatile molecule produced in the petrochemical industry and is widely used to manufacture plastic polymers, anti-freeze, and automotive fluids. Biotechnological production of EG from xylose, a pentose present in lignocellulose biomass hydrolysates, has been achieved by the engineering of bacteria, such as Escherichia coli and Enterobacter cloacae, and the yeast Saccharomyces cerevisiae with synthetic pathways. In the present work, the Dahms pathway was employed to construct Komagataella phaffii strains capable of producing EG from xylose. Different combinations of the four enzymes that compose the synthetic pathway, namely, xylose dehydrogenase, xylonate dehydratase, dehydro-deoxy-xylonate aldolase, and glycolaldehyde reductase, were successfully expressed in K. phaffii. Increased production of EG (1.31 g/L) was achieved by employing a newly identified xylonate dehydratase (xylD-HL). This xylonate dehydratase allowed 30% higher EG production than a previously known xylonate dehydratase (xylD-CC). Further strain engineering demonstrated that K. phaffii possesses native glycolaldehyde reduction and oxidation activities, which lead to pathway deviation from EG to glycolic acid (GA) production. Finally, cultivation conditions that favor the production of EG over GA were determined.",
39615327,Muscovy ducks,8855,,,miR-317 regulates the proliferation and apoptosis of duck follicle granulosa cells by targeting VIPR1.,"VIPR1 can specifically bind VIP, a PRL release factor, which promotes the secretion of PRL from the pituitary gland, and participates in the regulation of bird nesting behavior. The purpose of this study was to investigate the effects of miR-317 overexpression or silencing on VIPR1 gene and protein expression in duck follicle granulosa cells. The ovaries of Muscovy ducks were collected during the nesting and laying periods, and histological differences were analyzed via HE staining. Duck primary follicle granulosa cells were isolated and identified by immunofluorescence staining, after which the cells were transfected with miR-317, mimic-NC, miR-317 mimic, inhibitor-NC or miR-317 inhibitor Alterations in cell proliferation were then analyzed by EdU staining, and cell apoptosis was assessed by Annexin-V-FITC flow cytometry and TUNEL staining. Fluorescence quantitative PCR was used to assess the expression level of VIPR1 after miR-317 overexpression or silencing. Total protein was extracted from the follicle granulosa cells, and protein levels were analyzed via Western blotting. The results revealed that the nucleus of the ovarian granule in Muscovy ducks was more concentrated and distinct from the surrounding cells during the brooding period than during the laying period. More than 90 % of the cells were identified as duck follicle granulosa cells by immunofluorescence staining of FSHR and LHR. miR-317 expression was significantly higher in the miR-317 mimic-transfected group than in the miRNA-NC-transfected group (P < 0.01); similarly, miR-317 expression was significantly lower in the inhibitor-transfected group than in the miRNA inhibitor-transfected group (P < 0.01), indicating that miR-317 overexpression and interference vectors were successfully constructed and transfected into duck follicular granulosa cells. EdU staining revealed that the number of EdU-positive cells was significantly greater in the miR-317 mimic-transfected group than in the mimic-NC-transfected group (P < 0.05); after miR-317 silencing or inhibition, cell proliferation decreased, and the number of EdU-positive cells significantly decreased (P < 0.01). TUNEL staining revealed that the proportion of red, TUNEL-positive cells in the miR-317 inhibitor interference group was significantly greater than that in the miR-NC, miR-317 mimic, or inhibitor-NC group (P < 0.05). These results suggest that miR-317 inhibition promoted the apoptosis of duck follicle granulosa cells. Flow cytometry revealed that the percentage of apoptotic cells was 14.23 % and 22.75 % in the inhibitor-NC and miR-317 inhibitor groups, respectively (P < 0.01). Fluorescence quantitative PCR revealed that, compared with that in the corresponding control groups, VIPR1 gene expression was significantly lower in the miR-317 mimic group (P < 0.05) but significantly higher in the miR-317 inhibitor group (P < 0.05). Western blot analysis revealed that VIPR1 levels were significantly lower in the miR-317 mimic group than in the mimic-NC group (P < 0.05) but significantly greater in the miR-317 inhibitor group (P < 0.05). In summary, miR-317 inhibition promoted the apoptosis of duck follicle granulosa cells, and miR-317 overexpression promoted the proliferation of duck follicle granulosa cells and negatively regulated expression of the target gene VIPR1 at the gene and protein levels. This study further reveals the molecular mechanism underlying follicular atresia and serves as a reference for reducing the broodiness of Muscovy ducks.",Animals; Female; MicroRNAs; Apoptosis; Granulosa Cells; Ducks; Cell Proliferation; Avian Proteins
39615459,Wolbachia,955,,,Assessing the direct and spillover protective effectiveness of Wolbachia-mediated introgression to combat dengue.,"Dengue remains a global health challenge with limited treatment options, highlighting the need for effective vector control strategies. The introduction of Wolbachia pipientis into Aedes aegypti populations has shown success in reducing dengue transmission across global field trials. However, the spillover effectiveness of the technology on untreated areas is not well-known. This study estimates the spillover protective effectiveness (PE) of Wolbachia-mediated introgression on dengue.",Wolbachia; Dengue; Animals; Aedes; Humans; Mosquito Vectors; Dengue Virus; Malaysia; Mosquito Control; Incidence
39615486,Staphylococcus aureus,1280,ClpP,8192,Structure-guided development of selective caseinolytic protease P agonists as antistaphylococcal agents.,"Methicillin-resistant Staphylococcus aureus is a ubiquitous pathogen, posing a serious threat to human health worldwide. Thus, there is a high demand for antibiotics with distinct targets. Caseinolytic protease P (ClpP) is a promising target for combating staphylococcal infections; however, selectively activating S. aureus ClpP (SaClpP) rather than Homo sapiens ClpP (HsClpP) remains challenging. Herein, we rationally design and identify ZG297 by structure-based strategy. It binds and activates SaClpP instead of HsClpP. This is due to differentiated ligand binding attributed to crossed ""tyrosine/histidine"" amino acid pairs. ZG297 substantially inhibits the growth of a broad panel of S. aureus strains in vitro, outperforming the selective (R)-ZG197 agonist. ZG297 also functions as a potent antibiotic against multidrug-resistant S. aureus infections in Galleria mellonella larvae, zebrafish, murine skin, and thigh infection models. Collectively, we demonstrate that ZG297 is a safer and more potent antistaphylococcal agent than acyldepsipeptide 4 and (R)-ZG197.",Animals; Endopeptidase Clp; Mice; Zebrafish; Staphylococcal Infections; Anti-Bacterial Agents; Humans; Methicillin-Resistant Staphylococcus aureus; Microbial Sensitivity Tests; Bacterial Proteins; Staphylococcus aureus; Structure-Activity Relationship; Moths
39615687,Thermus thermophilus,274,,,The structural basis for high-affinity c-di-GMP binding to the GSPII-B domain of the traffic ATPase PilF from Thermus thermophilus.,"c-di-GMP is an important second messenger in bacteria regulating, for example motility, biofilm formation, cell wall biosynthesis, infectivity, and natural transformability. It binds to a multitude of intracellular receptors. This includes proteins containing general secretory pathway II (GSPII) domains such as the N-terminal domain of the Vibrio cholerae ATPase MshE (MshEN) which binds c-di-GMP with two copies of a 24-amino acids sequence motif. The traffic ATPase PilF from Thermus thermophilus is important for type IV pilus biogenesis, twitching motility, surface attachment, and natural DNA-uptake and contains three consecutive homologous GPSII domains. We show that only two of these domains bind c-di-GMP and define the structural basis for the exceptional high affinity of the GSPII-B domain for c-di-GMP, which is 83-fold higher than that of the prototypical MshEN domain. Our work establishes an extended consensus sequence for the c-di-GMP-binding motif and highlights the role of hydrophobic residues for high-affinity recognition of c-di-GMP. Our structure is the first example for a c-di-GMP-binding domain not relying on arginine residues for ligand recognition. We also show that c-di-GMP-binding induces local unwinding of an α-helical turn as well as subdomain reorientation to reinforce intermolecular contacts between c-di-GMP and the C-terminal subdomain. Abolishing c-di-GMP binding to GSPII-B reduces twitching motility and surface attachment but not natural DNA-uptake. Overall, our work contributes to a better characterization of c-di-GMP binding in this class of effector domains, allows the prediction of high-affinity c-di-GMP-binding family members, and advances our understanding of the importance of c-di-GMP binding for T4P-related functions.","Thermus thermophilus; Cyclic GMP; Bacterial Proteins; Protein Domains; Adenosine Triphosphatases; Protein Binding; Models, Molecular"
39616241,Brassica juncea,3707,,,A wide range of chromosome numbers result from unreduced gamete production in Brassica juncea × B. napus (AABC) interspecific hybrids.,"The establishment of successful interspecies hybrids requires restoration of a stable ""2n"" chromosome complement which can produce viable ""n"" gametes. This may occur (rarely) via recombination between non-homologous chromosomes, or more commonly is associated with a doubling of parental chromosome number to produce new homologous pairing partners in the hybrid. The production of unreduced ""2n"" gametes (gametes with the somatic chromosome number) may therefore be evolutionarily useful by serving as a key pathway for the formation of new polyploid hybrids, as might specific mechanisms permitting recombination between non-homologous chromosomes. Here, we investigated chromosome complements and fertility in third generation interspecific hybrids (AABC) resulting from a cross between allopolyploids Brassica juncea (AABB) × B. napus (AACC) followed by self-pollination for two generations. Chromosome numbers ranged from 2n = 48-74 in the experimental population (35 plants), with 9-16 B genome chromosomes and up to 4 copies of A genome chromosomes. Unreduced gamete production leading to a putative genome structure of approximately AAAABBCC was hence predicted to explain the high chromosome numbers observed. Additionally, the estimation of nuclei number in post-meiotic sporads revealed a higher frequency of unreduced gametes (0.04-5.21%) in the third generation AABC interspecific hybrids compared to the parental Brassica juncea (0.07%) and B. napus (0.13%). Our results suggest that unreduced gamete production in the subsequent generations following interspecific hybridization events may play a critical role in restoration of more stable, fertile chromosome complements.","Mustard Plant; Chromosomes, Plant; Hybridization, Genetic; Brassica napus; Polyploidy; Genome, Plant; Crosses, Genetic; Germ Cells, Plant; Fertility"
39616385,coronavirus,694013,NF-kappaB,4790,Linear ubiquitination mediates coronavirus NSP14-induced NF-κB activation.,"Human coronaviruses exhibit a spectrum of symptoms, ranging from mild seasonal colds to severe respiratory manifestations. Despite progress in understanding the host's innate defense mechanisms against coronaviruses, how these viruses manipulate the immune response to promote inflammation remains elusive. In this study, we unveil the role of the coronavirus nonstructural protein 14 (NSP14) in leveraging the host's linear ubiquitin chain assembly complex (LUBAC) to instigate NF-κB activation, thereby triggering proinflammatory responses. Our findings uncover that HOIL-1-interacting protein (HOIP) directly engages with NSP14, conferring linear polyubiquitin chains onto NSP14. Consequently, ubiquitinated NSP14 recruits NEMO and initiates the activation of the IKK complex. This NSP14-induced NF-κB activation stimulates the expression of proinflammatory factors but not type I interferon, leading to a skewed host innate immune response tilting to inflammation. Collectively, our study sheds light on a virus-initiated linear ubiquitination pathway that induces NF-κB signaling and provokes proinflammatory responses.","Ubiquitination; NF-kappa B; Humans; Viral Nonstructural Proteins; HEK293 Cells; I-kappa B Kinase; Signal Transduction; Ubiquitin-Protein Ligases; Immunity, Innate; Animals; Coronavirus; Inflammation"
39616404,potatoes,4113,,,The contribution of the Gaza Envelope Region to Israel's food security.,"Armed conflicts can severely impact food security by displacing farmers, destroying farms and agricultural infrastructure, disrupting supply chains, and limiting governance control over highly volatile food markets. In this study, we aim to gain an initial understanding of the impact of the ongoing Israel-Hamas War on local food production in Israel.",
39616518,Staphylococcus aureus,1280,,,RpoB H481Y Rifampicin Resistance Mutation-Associated Oxidative Stress Sensitivity Reduces the Virulence of Staphylococcus aureus.,"In this study, we have established a Staphylococcus aureus RpoB H481Y mutant strain and demonstrated that it is sensitive to menadione or hydrogen peroxide-induced oxidative stress and exhibits reduced virulence against a silkworm infection model. Furthermore, the reduced virulence of the RpoB H481Y mutant was abrogated in the presence of N-acetylcysteine, a reactive oxygen species scavenger. These results suggest that oxidative stress sensitivity caused by the RpoB H481Y rifampicin resistance mutation attenuates the virulence of S. aureus.","Oxidative Stress; Rifampin; Animals; Staphylococcus aureus; Virulence; Staphylococcal Infections; Drug Resistance, Bacterial; Hydrogen Peroxide; Vitamin K 3; Bacterial Proteins; Mutation; Anti-Bacterial Agents; DNA-Directed RNA Polymerases; Disease Models, Animal; Acetylcysteine"
