pmid,species_name,species_id,gene_name,gene_id
39614765,horses,9796,,
39614807,,,,
39614885,patients,9606,IL8,3576
39614925,,,CD40L,959
39614950,woman,9606,,
39614973,,,,
39614975,human,9606,OSTERIX,121340
39614978,Komagataella phaffii,460519,,
39614979,patients,9606,,
39614985,patients,9606,Hormone Receptor,3164
39614986,human,9606,,
39615025,patients,9606,C-reactive protein,1401
39615226,,,PMS2,5395
39615326,hens,9031,catalase,423600
39615327,Muscovy ducks,8855,,
39615459,Wolbachia,955,,
39615486,Staphylococcus aureus,1280,ClpP,8192
39615680,,,TTR,7276
39615683,human,9606,Rab23,51715
39615685,mouse,10090,MYC,4609
39615687,Thermus thermophilus,274,,
39615691,mouse,10090,Abeta,351
39615837,,,leptin,3952
39616151,,,,
39616152,patients,9606,,
39616159,patient,9606,iASPP,10848
39616163,patient,9606,,
39616173,,,,
39616175,human,9606,"IL4, 13 and 10",
39616184,,,,
39616186,patients,9606,alpha-synuclein,6622
39616189,patients,9606,,
39616194,,,,
39616204,,,,
39616210,,,,
39616213,patients,9606,,
39616214,,,,
39616241,Brassica juncea,3707,,
39616249,patients,9606,,
39616250,patients,9606,,
39616253,,,,
39616262,,,,
39616267,,,POLA2,23649
39616277,mice,10090,miR-27b,407019
39616305,people,9606,,
39616321,,,,
39616339,,,,
39616344,,,,
39616348,,,,
39616356,,,,
39616364,humans,9606,REST,5978
39616367,,,,
39616369,patients,9606,,
39616385,coronavirus,694013,NF-kappaB,4790
39616389,patients,9606,,
39616392,patients,9606,IDO2,169355
39616397,patients,9606,,
39616399,,,,
39616404,potatoes,4113,,
39616405,patients,9606,,
39616407,,,,
39616447,patients,9606,JAK2,3717
39616501,Women,9606,,
39616517,people,9606,,
39616518,Staphylococcus aureus,1280,,
39616519,patients,9606,opiorphin,58503
39616532,,,,
39616553,patients,9606,,
39616561,,,,
39616676,chicken,9031,ULK1,416800
39616679,hens,9031,CYP17A1,425056
39616719,soybean,3847,,
39616738,patients,9606,,
39616985,patients,9606,,
39616986,patient,9606,AJUBA,84962
39617009,patients,9606,,
39617045,,,,
39617061,,,,
39617149,Human,9606,,
39617304,mice,10090,albumin,213
39617536,,,,
39617741,patients,9606,CDH17,1015
39617744,,,,
39617754,,,,
39617758,human,9606,,
39617767,patient,9606,,
39617781,E. coli,562,,
39617791,rat,10116,TFPI2,286926
39617792,,,DNMT3A,1788
39617796,Pseudomonas aeruginosa,287,DHFR,103223875
39617797,,,,
39617841,,,,
39617843,mice,10090,MyD88,17874
39617850,rats,10116,BDNF,627
39617879,human,9606,,
39617882,women,9606,insulin,3630
39617905,patients,9606,,
39617906,,,,
39617909,patient,9606,,
39617918,,,,
39617933,,,NLRP3,100514823
39617943,patients,9606,,
39617950,patients,9606,,
39618058,patients,9606,,
39618070,patient,9606,,
39618091,patients,9606,,
39618108,patients,9606,,
39618128,PATIENT,9606,,
39618174,women,9606,,
39618182,sunflower,4232,,
39618192,dogs,9615,,
39618232,,,,
39618242,human,9606,,
39618250,human,9606,,
39618261,,,,
39618293,,,,
39618329,,,,
39618336,patient,9606,MGMT,4255
39618428,patients,9606,,
39618444,human,9606,,
39618479,patients,9606,,
39618487,,,,
39618491,,,GLP-1,2740
39618500,human,9606,S1PR3,1903
39618501,patients,9606,,
39618509,patients,9606,FVIII,2157
39618513,participants,9606,,
39618526,patients,9606,,
39618531,patients,9606,,
39618532,patients,9606,,
39618533,,,,
39618540,patient,9606,,
39618544,HIV,11676,,
39618545,,,,
39618546,,,,
39618551,Candida antarctica,84753,lipase,26302740
39618556,jujube,326968,,
39618557,Lactococcus,1357,,
39618586,patients,9606,,
39618587,patients,9606,,
39618590,patient,9606,C-reactive protein,1401
39618598,patients,9606,,
39618601,patients,9606,,
39618606,patients,9606,,
39618613,Patients,9606,,
39618619,,,,
